timestamp,agent.name,data.title,rule.description,rule.level,rule.id
"Apr 01, 2026 @ 06:01:22.000",host-004.lab.internal,Performance advisory #28,Disk latency p95 42ms on volume vol-10 at host-004.lab.internal.,6,5502
"Apr 01, 2026 @ 06:02:48.000",host-004.lab.internal,SSH brute pattern #1,Repeated auth failures from 192.0.2.168 targeting host-004.lab.internal.,10,5714
"Apr 01, 2026 @ 06:04:05.000",host-039.lab.internal,SSH auth failure #2,Failed login for user probe_3845 from 198.51.45.95 on host-039.lab.internal.,9,5712
"Apr 01, 2026 @ 06:04:25.000",host-037.lab.internal,Multiple auth failures #3,10 failed logins for svc_temp on host-037.lab.internal within window.,11,5551
"Apr 01, 2026 @ 06:05:08.000",host-043.lab.internal,SSH auth failure #4,Failed login for user probe_3908 from 198.51.108.158 on host-043.lab.internal.,8,5713
"Apr 01, 2026 @ 06:06:34.000",host-043.lab.internal,Web attack blocked #5,WAF blocked request id 8090 path /api/44 on host-043.lab.internal.,10,31108
"Apr 01, 2026 @ 06:08:17.000",host-026.lab.internal,Web attack blocked #6,WAF blocked request id 8193 path /api/47 on host-026.lab.internal.,9,31151
"Apr 01, 2026 @ 06:08:45.000",host-005.lab.internal,Web attack blocked #7,WAF blocked request id 8221 path /api/25 on host-005.lab.internal.,10,31151
"Apr 01, 2026 @ 06:08:58.000",host-005.lab.internal,SSH brute pattern #8,Repeated auth failures from 192.0.2.138 targeting host-005.lab.internal.,10,5714
"Apr 01, 2026 @ 06:10:18.000",host-023.lab.internal,Multiple auth failures #9,13 failed logins for svc_temp on host-023.lab.internal within window.,10,5551
"Apr 01, 2026 @ 06:10:38.000",host-011.lab.internal,Multiple auth failures #10,13 failed logins for svc_temp on host-011.lab.internal within window.,10,5551
"Apr 01, 2026 @ 06:11:46.000",host-034.lab.internal,Web attack blocked #11,WAF blocked request id 8402 path /api/6 on host-034.lab.internal.,11,31160
"Apr 01, 2026 @ 06:11:59.000",host-009.lab.internal,Web attack blocked #12,WAF blocked request id 8415 path /api/19 on host-009.lab.internal.,11,31108
"Apr 01, 2026 @ 06:12:44.000",host-036.lab.internal,SSH auth failure #13,Failed login for user probe_4364 from 198.51.164.114 on host-036.lab.internal.,8,5714
"Apr 01, 2026 @ 06:13:15.000",host-014.lab.internal,Web attack blocked #14,WAF blocked request id 8491 path /api/45 on host-014.lab.internal.,10,31160
"Apr 01, 2026 @ 06:14:58.000",host-041.lab.internal,Web attack blocked #15,WAF blocked request id 8594 path /api/48 on host-041.lab.internal.,9,31160
"Apr 01, 2026 @ 06:15:43.000",host-006.lab.internal,SSH brute pattern #16,Repeated auth failures from 192.0.2.143 targeting host-006.lab.internal.,9,5714
"Apr 01, 2026 @ 06:17:16.000",host-001.lab.internal,SSH brute pattern #17,Repeated auth failures from 192.0.2.36 targeting host-001.lab.internal.,9,5714
"Apr 01, 2026 @ 06:18:10.000",host-029.lab.internal,Multiple auth failures #18,5 failed logins for svc_temp on host-029.lab.internal within window.,10,5551
"Apr 01, 2026 @ 06:19:32.000",host-008.lab.internal,SSH brute pattern #19,Repeated auth failures from 192.0.2.172 targeting host-008.lab.internal.,10,5714
"Apr 01, 2026 @ 06:19:53.000",host-038.lab.internal,Multiple auth failures #20,8 failed logins for svc_temp on host-038.lab.internal within window.,8,5551
"Apr 01, 2026 @ 06:21:15.000",host-003.lab.internal,Multiple auth failures #21,10 failed logins for svc_temp on host-003.lab.internal within window.,11,5551
"Apr 01, 2026 @ 06:22:06.000",host-014.lab.internal,Web attack blocked #22,WAF blocked request id 9022 path /api/26 on host-014.lab.internal.,9,31151
"Apr 01, 2026 @ 06:23:45.000",host-036.lab.internal,Multiple auth failures #23,10 failed logins for svc_temp on host-036.lab.internal within window.,8,5551
"Apr 01, 2026 @ 06:24:49.000",host-012.lab.internal,Multiple auth failures #24,14 failed logins for svc_temp on host-012.lab.internal within window.,9,5551
"Apr 01, 2026 @ 06:25:53.000",host-022.lab.internal,SSH auth failure #25,Failed login for user probe_5153 from 198.51.153.153 on host-022.lab.internal.,9,5714
"Apr 01, 2026 @ 06:27:45.000",host-018.lab.internal,SSH brute pattern #26,Repeated auth failures from 192.0.2.65 targeting host-018.lab.internal.,10,5714
"Apr 01, 2026 @ 06:28:17.000",host-031.lab.internal,SSH auth failure #27,Failed login for user probe_5297 from 198.51.97.47 on host-031.lab.internal.,11,5712
"Apr 01, 2026 @ 06:28:57.000",host-020.lab.internal,Critical web exploit #1,Blocked RCE attempt chain 5337 against host-020.lab.internal.,13,31175
"Apr 01, 2026 @ 06:30:54.000",host-043.lab.internal,Critical web exploit #2,Blocked RCE attempt chain 5454 against host-043.lab.internal.,12,31152
"Apr 01, 2026 @ 06:31:30.000",host-005.lab.internal,Rootcheck anomaly #3,Hidden port 40490/tcp detected on host-005.lab.internal.,13,510
"Apr 01, 2026 @ 06:33:20.000",host-044.lab.internal,Suspicious bulk outbound #4,Relay host-044.lab.internal sent 281000 msgs in 5m to external domains.,14,5552
"Apr 01, 2026 @ 06:35:19.000",host-017.lab.internal,Suspicious bulk outbound #5,Relay host-017.lab.internal sent 286950 msgs in 5m to external domains.,12,5552
"Apr 01, 2026 @ 06:35:53.000",host-039.lab.internal,Suspicious bulk outbound #6,Relay host-039.lab.internal sent 288650 msgs in 5m to external domains.,12,5552
"Apr 01, 2026 @ 06:37:00.000",host-039.lab.internal,Suspicious bulk outbound #7,Relay host-039.lab.internal sent 292000 msgs in 5m to external domains.,14,5552
"Apr 01, 2026 @ 06:38:17.000",host-017.lab.internal,Privilege escalation #8,User bad_5897 sudo to root shell on host-017.lab.internal; session recorded.,15,5402
"Apr 01, 2026 @ 06:38:34.000",host-024.lab.internal,Rootcheck anomaly #9,Hidden port 40914/tcp detected on host-024.lab.internal.,12,510
"Apr 01, 2026 @ 06:39:41.000",host-043.lab.internal,Privilege escalation #10,User bad_5981 sudo to root shell on host-043.lab.internal; session recorded.,14,5403
"Apr 01, 2026 @ 06:41:41.000",host-043.lab.internal,Privilege escalation #11,User bad_6101 sudo to root shell on host-043.lab.internal; session recorded.,14,5403
"Apr 01, 2026 @ 06:42:45.000",host-036.lab.internal,Suspicious bulk outbound #12,Relay host-036.lab.internal sent 309250 msgs in 5m to external domains.,15,5552
"Apr 01, 2026 @ 06:43:13.000",host-044.lab.internal,Critical web exploit #13,Blocked RCE attempt chain 6193 against host-044.lab.internal.,13,31175
"Apr 01, 2026 @ 06:45:00.000",host-026.lab.internal,Critical web exploit #14,Blocked RCE attempt chain 6300 against host-026.lab.internal.,14,31175
"Apr 01, 2026 @ 06:46:22.000",host-014.lab.internal,Privilege escalation #15,User bad_6382 sudo to root shell on host-014.lab.internal; session recorded.,14,5403
"Apr 01, 2026 @ 06:47:29.000",host-029.lab.internal,Suspicious bulk outbound #16,Relay host-029.lab.internal sent 323450 msgs in 5m to external domains.,15,5552
"Apr 01, 2026 @ 06:49:07.000",host-011.lab.internal,Critical web exploit #17,Blocked RCE attempt chain 6547 against host-011.lab.internal.,14,31175
"Apr 01, 2026 @ 06:50:43.000",host-006.lab.internal,Privilege escalation #18,User bad_6643 sudo to root shell on host-006.lab.internal; session recorded.,14,5403
"Apr 01, 2026 @ 06:52:39.000",host-015.lab.internal,Critical web exploit #19,Blocked RCE attempt chain 6759 against host-015.lab.internal.,14,31175
"Apr 01, 2026 @ 06:54:34.000",host-003.lab.internal,Critical web exploit #20,Blocked RCE attempt chain 6874 against host-003.lab.internal.,12,31152
"Apr 01, 2026 @ 06:55:17.000",host-027.lab.internal,Rootcheck anomaly #21,Hidden port 41917/tcp detected on host-027.lab.internal.,12,510
"Apr 01, 2026 @ 06:56:49.000",host-032.lab.internal,Critical web exploit #22,Blocked RCE attempt chain 7009 against host-032.lab.internal.,14,31175
"Apr 01, 2026 @ 06:57:52.000",host-007.lab.internal,Critical web exploit #23,Blocked RCE attempt chain 7072 against host-007.lab.internal.,12,31152
"Apr 01, 2026 @ 06:59:43.000",host-034.lab.internal,Rootcheck anomaly #24,Hidden port 42183/tcp detected on host-034.lab.internal.,12,510
"Apr 01, 2026 @ 07:00:54.000",host-030.lab.internal,Privilege escalation #25,User bad_7254 sudo to root shell on host-030.lab.internal; session recorded.,13,5402
"Apr 01, 2026 @ 07:01:23.000",host-040.lab.internal,Rootcheck anomaly #26,Hidden port 42283/tcp detected on host-040.lab.internal.,13,510
"Apr 01, 2026 @ 07:03:19.000",host-031.lab.internal,Rootcheck anomaly #27,Hidden port 42399/tcp detected on host-031.lab.internal.,13,510
